total,data,pde,wall_pde,inlet,outlet,interface_temp,interface_flux,ordering,reg,wall_reg,epoch,validation_score,nu_hot_m2_s,nu_cold_m2_s,alpha_hot_m2_s,alpha_cold_m2_s,k_wall_w_mk,hot_inlet_temperature_K,cold_inlet_temperature_K,hot_inlet_temperature_bias_K,cold_inlet_temperature_bias_K
54.12244415283203,0.10974717140197754,8797.5048828125,1024.5152587890625,0.0,0.0,0.8479317426681519,1664.74169921875,0.0,2.0679515229122397e-13,0.0,1,6.0496935634659526,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.66595458984375,283.5007019042969,-0.0006999997422099113,0.0006999993929639459
43.00214385986328,0.09185424447059631,8061.76611328125,828.0546264648438,0.0,0.0,0.6178349256515503,1127.4661865234375,2.830070755521774e-08,2.0679515229122397e-13,0.0,2,5.485544023182104,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.6653137207031,283.50067138671875,-0.001338073518127203,0.0006757306400686502
35.536773681640625,0.08177871257066727,8678.330078125,563.9400024414062,0.0,0.0,0.4401264786720276,615.8192138671875,0.0,2.0679515229122397e-13,0.0,3,4.811098212631615,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.66473388671875,283.5005187988281,-0.0019201836548745632,0.0005072300555184484
31.898279190063477,0.06619861721992493,7910.87451171875,497.9132995605469,0.0,0.0,0.4815477728843689,453.68310546875,0.0,2.0679515229122397e-13,0.0,4,4.397944895878982,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.66412353515625,283.50067138671875,-0.002540560904890299,0.0006709031877107918
31.152891159057617,0.056438516825437546,7723.42919921875,465.6788635253906,0.0,0.0,0.5688534379005432,596.0556640625,0.0,2.0679515229122397e-13,0.0,5,4.218001535504359,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.6634826660156,283.5010070800781,-0.003187722759321332,0.0010186764411628246
28.570404052734375,0.055558301508426666,8218.755859375,555.3453979492188,0.0,0.0,0.4761165380477905,536.062744140625,0.0,2.0679515229122397e-13,0.0,6,4.136078864789494,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.662841796875,283.5014343261719,-0.0038243872113525867,0.0014319000765681267
26.577308654785156,0.05164247006177902,9085.6533203125,560.1989135742188,0.0,0.0,0.44338274002075195,579.48681640625,0.0,2.0679515229122397e-13,0.0,7,3.9622538639688463,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.66217041015625,283.5018005371094,-0.0044828131794929504,0.0018019822891801596
24.830280303955078,0.04676828905940056,8480.4052734375,540.4424438476562,0.0,0.0,0.43199172616004944,556.4756469726562,5.6934403858122096e-08,2.0679515229122397e-13,0.0,8,3.7435294868473914,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.6615295410156,283.5021667480469,-0.005137661471962929,0.002162023214623332
23.403095245361328,0.04248734936118126,9363.1103515625,434.3246154785156,0.0,0.0,0.4262756109237671,418.53875732421875,0.0,2.0679515229122397e-13,0.0,9,3.424799849819485,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.6608581542969,283.5025329589844,-0.005792056676000357,0.002547298790886998
20.335494995117188,0.033046651631593704,8686.859375,352.54022216796875,0.0,0.0,0.4168599843978882,439.3899841308594,0.0,2.0679515229122397e-13,0.0,10,2.9651536311394295,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.66021728515625,283.50299072265625,-0.006449970882385969,0.0029885161202400923
17.580081939697266,0.024969447404146194,8512.75,296.9331970214844,0.0,0.0,0.40356993675231934,376.60748291015625,0.0,2.0679515229122397e-13,0.0,11,2.5668904417594396,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,9.999997701015673e-07,16.0,303.6595458984375,283.50347900390625,-0.007116684690117836,0.0034782509319484234
